Sensor Esq45,Sensor Esq30,Sensor Frente,Sensor Dir30,Sensor Dir45,Ângulo entre o robô e o destino (rads. -PI a +PI),Saída Vel. Linear(m/s),Saída Vel. Angular   (rad/s.horário=negativo)
Com obstáculos à distância “longa”. “média” ou “curta”. destino “direto à frente”,,,,,,,
0.1,0.1,0.1,0.1,0.1,0.05,0.99,0.0
0.5,0.1,0.1,0.1,0.1,-0.07,0.95,-0.2
0.1,0.5,0.1,0.1,0.1,-0.04,0.75,-0.4
0.1,0.1,0.5,0.1,0.1,-0.16,0.5,-0.7
0.1,0.1,0.1,0.5,0.1,0.02,0.75,0.4
0.1,0.1,0.1,0.1,0.5,0.04,0.95,0.2
0.9,0.1,0.1,0.1,0.1,0.06,0.75,-0.4
0.1,0.9,0.1,0.1,0.1,-0.15,0.55,-0.6
0.1,0.1,0.9,0.1,0.1,0.12,0.25,-0.9
0.1,0.1,0.1,0.9,0.1,0.06,0.55,0.6
0.1,0.1,0.1,0.1,0.9,0.2,0.75,0.4
0.5,0.5,0.1,0.1,0.1,0.11,0.85,-0.4
0.1,0.5,0.5,0.1,0.1,-0.12,0.55,-0.6
0.1,0.5,0.5,0.5,0.1,-0.17,0.25,-0.9
0.1,0.1,0.5,0.5,0.1,0.08,0.55,0.6
0.1,0.1,0.1,0.5,0.5,0.08,0.85,0.4
0.9,0.9,0.1,0.1,0.1,0.09,0.45,-0.6
0.1,0.9,0.9,0.1,0.1,-0.07,0.35,-0.7
0.1,0.9,0.9,0.9,0.1,-0.19,0.25,-0.9
0.1,0.1,0.9,0.9,0.1,0.13,0.35,0.7
0.1,0.1,0.1,0.9,0.9,-0.19,0.45,0.6
0.9,0.5,0.1,0.1,0.1,0.05,0.65,-0.5
0.5,0.9,0.5,0.1,0.1,0.03,0.45,-0.7
0.1,0.5,0.9,0.5,0.1,0.12,0.15,-1.0
0.1,0.1,0.5,0.9,0.5,-0.2,0.45,0.7
0.1,0.1,0.1,0.5,0.9,-0.19,0.65,0.5
0.09,0.09,0.09,0.09,0.09,0.18,0.99,0.01
0.52,0.12,0.12,0.12,0.12,-0.01,0.97,-0.22
0.1,0.5,0.1,0.1,0.1,-0.19,0.75,-0.4
0.08,0.08,0.48,0.08,0.08,0.0,0.48,-0.68
0.11,0.11,0.11,0.51,0.11,0.2,0.76,0.39
0.09,0.09,0.09,0.09,0.49,-0.06,0.94,0.21
0.92,0.12,0.12,0.12,0.12,0.14,0.77,-0.42
0.08,0.88,0.08,0.08,0.08,0.01,0.53,-0.58
0.1,0.1,0.9,0.1,0.1,-0.05,0.25,-0.9
0.08,0.08,0.08,0.88,0.08,-0.08,0.53,0.62
0.11,0.11,0.11,0.11,0.91,0.08,0.76,0.39
0.51,0.51,0.11,0.11,0.11,0.08,0.86,-0.41
0.1,0.5,0.5,0.1,0.1,-0.16,0.55,-0.6
0.11,0.51,0.51,0.51,0.11,-0.11,0.26,-0.91
0.09,0.09,0.49,0.49,0.09,-0.07,0.54,0.61
0.12,0.12,0.12,0.52,0.52,-0.19,0.87,0.38
0.91,0.91,0.11,0.11,0.11,0.08,0.46,-0.61
0.1,0.9,0.9,0.1,0.1,0.2,0.35,-0.7
0.1,0.9,0.9,0.9,0.1,-0.19,0.25,-0.9
0.08,0.08,0.88,0.88,0.08,0.14,0.33,0.72
0.12,0.12,0.12,0.92,0.92,0.01,0.47,0.58
0.91,0.51,0.11,0.11,0.11,-0.04,0.66,-0.51
0.51,0.91,0.51,0.11,0.11,0.07,0.46,-0.71
0.09,0.49,0.89,0.49,0.09,0.05,0.14,-0.99
0.09,0.09,0.49,0.89,0.49,-0.16,0.44,0.71
0.09,0.09,0.09,0.49,0.89,0.19,0.64,0.51
0.11,0.11,0.11,0.11,0.51,0.09,0.96,0.19
0.93,0.13,0.13,0.13,0.13,0.16,0.78,-0.43
0.11,0.91,0.11,0.11,0.11,-0.08,0.56,-0.61
0.11,0.11,0.91,0.11,0.11,0.13,0.26,-0.91
0.09,0.09,0.09,0.89,0.09,-0.06,0.54,0.61
0.11,0.11,0.11,0.11,0.91,0.15,0.76,0.39
0.52,0.52,0.12,0.12,0.12,-0.13,0.87,-0.42
0.11,0.51,0.51,0.11,0.11,0.15,0.56,-0.61
0.12,0.52,0.52,0.52,0.12,0.2,0.27,-0.92
0.08,0.08,0.48,0.48,0.08,-0.2,0.53,0.62
0.13,0.13,0.13,0.53,0.53,-0.11,0.88,0.37
0.91,0.91,0.11,0.11,0.11,-0.09,0.46,-0.61
0.11,0.91,0.91,0.11,0.11,0.17,0.36,-0.71
0.11,0.91,0.91,0.91,0.11,0.16,0.26,-0.91
0.08,0.08,0.88,0.88,0.08,0.18,0.33,0.72
0.12,0.12,0.12,0.92,0.92,0.16,0.47,0.58
0.89,0.49,0.09,0.09,0.09,0.04,0.64,-0.49
0.51,0.91,0.51,0.11,0.11,-0.03,0.46,-0.71
0.1,0.5,0.9,0.5,0.1,-0.18,0.15,-1.0
0.08,0.08,0.48,0.88,0.48,0.17,0.43,0.72
0.08,0.08,0.08,0.48,0.88,-0.14,0.63,0.52
0.11,0.11,0.11,0.11,0.51,-0.18,0.96,0.19
0.91,0.11,0.11,0.11,0.11,-0.08,0.76,-0.41
0.08,0.88,0.08,0.08,0.08,-0.1,0.53,-0.58
0.08,0.08,0.88,0.08,0.08,0.06,0.23,-0.88
0.09,0.09,0.09,0.89,0.09,0.17,0.54,0.61
0.12,0.12,0.12,0.12,0.92,-0.2,0.77,0.38
0.53,0.53,0.13,0.13,0.13,-0.09,0.88,-0.43
0.11,0.51,0.51,0.11,0.11,0.13,0.56,-0.61
0.12,0.52,0.52,0.52,0.12,0.06,0.27,-0.92
0.07,0.07,0.47,0.47,0.07,-0.2,0.52,0.63
Sem obstáculo próximo. destino “direto à frente”,,,,,,,
0.07,0.14,0.18,0.03,0.18,0.01,0.93,0.07
0.05,0.14,0.12,0.04,0.01,-0.1,0.99,-0.02
0.12,0.16,0.17,0.08,0.1,0.0,0.93,0.09
0.04,0.16,0.07,0.1,0.19,0.01,0.94,-0.08
0.14,0.19,0.17,0.19,0.1,-0.02,0.97,-0.01
0.09,0.08,0.03,0.11,0.09,-0.09,0.9,-0.09
0.08,0.03,0.17,0.16,0.17,0.08,0.92,-0.01
0.1,0.06,0.15,0.19,0.07,0.09,0.93,0.06
0.01,0.18,0.15,0.14,0.18,0.03,0.97,0.06
0.1,0.19,0.15,0.02,0.13,0.05,0.99,-0.05
0.09,0.12,0.17,0.18,0.18,0.03,0.95,-0.03
0.02,0.05,0.16,0.1,0.16,-0.05,0.91,0.02
0.08,0.2,0.06,0.06,0.12,-0.02,0.99,0.08
0.02,0.2,0.06,0.05,0.01,-0.05,0.99,0.03
0.19,0.19,0.17,0.1,0.02,0.06,0.99,0.0 
0.08,0.13,0.04,0.19,0.02,0.09,0.96,-0.09
0.04,0.05,0.09,0.18,0.0,0.09,0.99,0.06
0.17,0.08,0.0 ,0.03,0.03,0.02,0.96,-0.07
0.07,0.05,0.09,0.17,0.15,0.05,0.94,0.08
0.15,0.04,0.1,0.16,0.15,0.09,0.96,0.05
0.05,0.0 ,0.07,0.02,0.01,-0.04,0.94,-0.04
0.14,0.19,0.1,0.12,0.07,0.09,0.91,0.02
0.08,0.18,0.08,0.2,0.06,0.08,0.99,-0.07
0.13,0.07,0.17,0.14,0.1,-0.01,0.98,-0.03
0.1,0.02,0.17,0.2,0.0 ,0.09,0.98,0.02
0.18,0.01,0.01,0.18,0.11,-0.04,0.96,0.02
0.16,0.04,0.14,0.07,0.16,0.04,0.94,-0.05
0.08,0.11,0.1,0.01,0.11,-0.02,0.92,0.02
0.04,0.13,0.07,0.06,0.01,0.07,0.97,-0.03
0.11,0.17,0.13,0.05,0.04,-0.03,0.91,0.02
0.07,0.06,0.04,0.17,0.04,-0.02,0.92,0.06
Sem obstáculo próximo. destino “variando de -PI a +PI”,,,,,,,
0.07,0.09,0.19,0.17,0.14,-3.1,0.05,1.0 
